Categories,Available Services,1 oz.,2 oz.,3 oz.,4 oz.,5 oz.,6 oz.,7 oz.,8 oz.,9 oz.,10 oz.,11 oz.,12 oz.,13 oz.,14 oz.,15 oz.,15.99 oz.,1 lb.,2 lb.,3 lb.,4 lb.,5 lb.,6 lb.,7 lb.,8 lb.,9 lb.,10 lb.,11 lb.,12 lb.,13 lb.,14 lb.,15 lb.,16 lb.,17 lb.,18 lb.,19 lb.,20 lb.,21 lb.,22 lb.,23 lb.,24 lb.,25 lb.,26 lb.,27 lb.,28 lb.,29 lb.,30 lb.,31 lb.,32 lb.,33 lb.,34 lb.,35 lb.,36 lb.,37 lb.,38 lb.,39 lb.,40 lb.,41 lb.,42 lb.,43 lb.,44 lb.,45 lb.,46 lb.,47 lb.,48 lb.,49 lb.,50 lb.,51 lb.,52 lb.,53 lb.,54 lb.,55 lb.
Adult, SC ,,,,,,,,1.99,2.24,2.49,2.74,2.99,3.24,3.48,3.73,3.98,3.98,3.98,4.02,4.05,4.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Automotive,  ,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,4.25,4.72,5.2,5.67,6.14,6.61,7.08,7.56,7.56,7.56,8.01,8.46,8.92,9.7,10.49,11.27,12.06,12.84,13.53,14.22,14.91,15.59,16.28,16.97,17.66,18.34,19.03,19.72,19.85,19.99,20.12,20.25,20.39,20.52,20.66,20.79,20.92,21.06,21.19,21.32,21.46,21.59,21.72,21.86,21.99,22.13,22.26,22.39,22.53,22.66,22.79,22.93,23.06,23.2,23.33,23.46,23.6,23.73,29.75,35.76,41.78,47.8,53.81
Automotive -> Automotive Accessories, SC&VAS ,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,4.25,4.72,5.2,5.67,6.14,6.61,7.08,7.56,7.56,7.56,8.01,8.46,8.92,9.7,10.49,11.27,12.06,12.84,13.53,14.22,14.91,15.59,16.28,16.97,17.66,18.34,19.03,19.72,19.85,19.99,20.12,20.25,20.39,20.52,20.66,20.79,20.92,21.06,21.19,21.32,21.46,21.59,21.72,21.86,21.99,22.13,22.26,22.39,22.53,22.66,22.79,22.93,23.06,23.2,23.33,23.46,23.6,23.73,29.75,35.76,41.78,47.8,53.81
Automotive -> Automotive Parts, SC&VAS ,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,4.25,4.72,5.2,5.67,6.14,6.61,7.08,7.56,7.56,7.56,8.01,8.46,8.92,9.7,10.49,11.27,12.06,12.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Automotive -> Automotive Tools -> Hand, SC&VAS ,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,4.25,4.72,5.2,5.67,6.14,6.61,7.08,7.56,7.56,7.56,8.01,8.46,8.92,9.7,10.49,11.27,12.06,12.84,13.53,14.22,14.91,15.59,16.28,16.97,17.66,18.34,19.03,19.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Automotive -> Automotive Tools -> Power, SC&VAS ,,,,,,,,,,,,,,,,,7.56,7.56,8.01,8.46,8.92,9.7,10.49,11.27,12.06,12.84,13.53,14.22,14.91,15.59,16.28,16.97,17.66,18.34,19.03,19.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Automotive -> Tires, Not Accepted ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby,  ,,,,,,,,3.78,4.25,4.72,5.2,5.67,6.14,6.61,7.08,7.56,7.56,7.56,8.01,8.46,8.92,9.7,10.49,11.27,12.06,12.84,13.53,14.22,14.91,15.59,16.28,16.97,17.66,18.34,19.03,19.72,19.75,19.78,19.81,19.84,19.87,19.9,19.93,19.96,19.99,20.03,20.06,20.1,20.14,20.18,20.22,20.26,20.31,20.35,20.4,20.45,20.51,20.57,20.64,20.71,20.79,20.88,20.99,21.13,21.33,23.73,29.75,35.76,41.78,47.8,53.81
Baby -> Baby Food & Formula, Not Accepted ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby -> Baby Monitors, SC&VAS ,,,,,,,,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.0,8.0,8.51,9.01,9.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
