Categories,Eligible for Supply Chain Only,Activities,1 oz.,2 oz.,3 oz.,4 oz.,5 oz.,6 oz.,7 oz.,8 oz.,9 oz.,10 oz.,11 oz.,12 oz.,13 oz.,14 oz.,15 oz.,15.99 oz.,1 lb.,2 lb.,3 lb.,4 lb.,5 lb.,6 lb.,7 lb.,8 lb.,9 lb.,10 lb.,11 lb.,12 lb.,13 lb.,14 lb.,15 lb.,16 lb.,17 lb.,18 lb.,19 lb.,20 lb.,21 lb.,22 lb.,23 lb.,24 lb.,25 lb.,26 lb.,27 lb.,28 lb.,29 lb.,30 lb.,31 lb.,32 lb.,33 lb.,34 lb.,35 lb.,36 lb.,37 lb.,38 lb.,39 lb.,40 lb.,41 lb.,42 lb.,43 lb.,44 lb.,45 lb.,46 lb.,47 lb.,48 lb.,49 lb.,50 lb.,51 lb.,52 lb.,53 lb.,54 lb.,55 lb.
Adult,Y,"Receive, check in, inspect (brand new, used), store to a pallet, B2B fulfillment",,,,,,,,1.99084375,2.23969921875,2.4885546875,2.73741015625,2.986265625,3.23512109375,3.4839765625,3.73283203125,3.9816875,3.9816875,3.9816875,4.017292708333333,4.052897916666666,4.088503124999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Automotive,,,1.99084375,1.99084375,1.99084375,1.99084375,1.99084375,1.99084375,1.99084375,1.99084375,2.23969921875,2.4885546875,2.73741015625,2.986265625,3.23512109375,3.4839765625,3.73283203125,3.9816875,3.9816875,3.9816875,4.017292708333333,4.052897916666666,4.088503124999999,4.1503035937499995,4.2121040625,4.27390453125,4.335705000000001,4.39750546875,4.451580878906251,4.5056562890625,4.55973169921875,4.613807109375,4.6678825195312506,4.7219579296875,4.77603333984375,4.83010875,4.88418416015625,4.9382595703125,4.948774233398438,4.9592888964843755,4.969803559570313,4.980318222656251,4.990832885742189,5.001347548828127,5.011862211914064,5.022376875000002,5.03289153808594,5.0434062011718765,5.0539208642578135,5.064435527343751,5.074950190429689,5.085464853515626,5.095979516601563,5.106494179687501,5.117008842773439,5.127523505859376,5.138038168945313,5.148552832031251,5.159067495117188,5.169582158203125,5.180096821289062,5.190611484375,5.201126147460938,5.211640810546875,5.222155473632812,5.23267013671875,5.243184799804688,5.253699462890625,5.726859301757812,6.200019140624999,6.673178979492186,7.146338818359373,7.619498657226561
Automotive -> Automotive Accessories,Y,"Receive, check in, inspect (brand new, like new, used), store to a shelf/pallet, B2C/B2B fulfillment",1.99084375,1.99084375,1.99084375,1.99084375,1.99084375,1.99084375,1.99084375,1.99084375,2.23969921875,2.4885546875,2.73741015625,2.986265625,3.23512109375,3.4839765625,3.73283203125,3.9816875,3.9816875,3.9816875,4.017292708333333,4.052897916666666,4.088503124999999,4.1503035937499995,4.2121040625,4.27390453125,4.335705000000001,4.39750546875,4.451580878906251,4.5056562890625,4.55973169921875,4.613807109375,4.6678825195312506,4.7219579296875,4.77603333984375,4.83010875,4.88418416015625,4.9382595703125,4.948774233398438,4.9592888964843755,4.969803559570313,4.980318222656251,4.990832885742189,5.001347548828127,5.011862211914064,5.022376875000002,5.03289153808594,5.0434062011718765,5.0539208642578135,5.064435527343751,5.074950190429689,5.085464853515626,5.095979516601563,5.106494179687501,5.117008842773439,5.127523505859376,5.138038168945313,5.148552832031251,5.159067495117188,5.169582158203125,5.180096821289062,5.190611484375,5.201126147460938,5.211640810546875,5.222155473632812,5.23267013671875,5.243184799804688,5.253699462890625,5.726859301757812,6.200019140624999,6.673178979492186,7.146338818359373,7.619498657226561
Automotive -> Automotive Parts,Y,"Receive, check in, inspect (brand new, like new, used), store to a shelf/pallet, B2C/B2B fulfillment",1.99084375,1.99084375,1.99084375,1.99084375,1.99084375,1.99084375,1.99084375,1.99084375,2.23969921875,2.4885546875,2.73741015625,2.986265625,3.23512109375,3.4839765625,3.73283203125,3.9816875,3.9816875,3.9816875,4.017292708333333,4.052897916666666,4.088503124999999,4.1503035937499995,4.2121040625,4.27390453125,4.335705000000001,4.39750546875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Automotive -> Automotive Tools -> Hand,Y,"Receive, check in, inspect (brand new, like new, used), store to a shelf/pallet, B2C/B2B fulfillment",1.99084375,1.99084375,1.99084375,1.99084375,1.99084375,1.99084375,1.99084375,1.99084375,2.23969921875,2.4885546875,2.73741015625,2.986265625,3.23512109375,3.4839765625,3.73283203125,3.9816875,3.9816875,3.9816875,4.017292708333333,4.052897916666666,4.088503124999999,4.1503035937499995,4.2121040625,4.27390453125,4.335705000000001,4.39750546875,4.451580878906251,4.5056562890625,4.55973169921875,4.613807109375,4.6678825195312506,4.7219579296875,4.77603333984375,4.83010875,4.88418416015625,4.9382595703125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Automotive -> Automotive Tools -> Power,Y,"Receive, check in, inspect (brand new, like new, used), store to a shelf/pallet, B2C/B2B fulfillment",,,,,,,,,,,,,,,,,3.9816875,3.9816875,4.017292708333333,4.052897916666666,4.088503124999999,4.1503035937499995,4.2121040625,4.27390453125,4.335705000000001,4.39750546875,4.451580878906251,4.5056562890625,4.55973169921875,4.613807109375,4.6678825195312506,4.7219579296875,4.77603333984375,4.83010875,4.88418416015625,4.9382595703125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Automotive -> Tires,N,"Receive, check in, inspect (brand new, used), store to a shelf/pallet, B2C/B2B fulfillment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby,,,,,,,,,,1.99084375,2.23969921875,2.4885546875,2.73741015625,2.986265625,3.23512109375,3.4839765625,3.73283203125,3.9816875,3.9816875,3.9816875,4.017292708333333,4.052897916666666,4.088503124999999,4.1503035937499995,4.2121040625,4.27390453125,4.335705000000001,4.39750546875,4.451580878906251,4.5056562890625,4.55973169921875,4.613807109375,4.6678825195312506,4.7219579296875,4.77603333984375,4.83010875,4.88418416015625,4.9382595703125,4.948774233398438,4.9592888964843755,4.969803559570313,4.980318222656251,4.990832885742189,5.001347548828127,5.011862211914064,5.022376875000002,5.03289153808594,5.0434062011718765,5.0539208642578135,5.064435527343751,5.074950190429689,5.085464853515626,5.095979516601563,5.106494179687501,5.117008842773439,5.127523505859376,5.138038168945313,5.148552832031251,5.159067495117188,5.169582158203125,5.180096821289062,5.190611484375,5.201126147460938,5.211640810546875,5.222155473632812,5.23267013671875,5.243184799804688,5.253699462890625,5.726859301757812,6.200019140624999,6.673178979492186,7.146338818359373,7.619498657226561
Baby -> Baby Food & Formula,N,"Receive, check in, inspect (brand new, used), store to a shelf/pallet, B2C/B2B fulfillment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby -> Baby Monitors,Y,"Receive, check in, inspect (brand new, like new, used), data wipe non-sealed, store to a shelf/pallet, B2C/B2B fulfillment",,,,,,,,2.25803125,2.5402851562500004,2.8225390625,3.10479296875,3.3870468750000002,3.6693007812500005,3.9515546875000003,4.23380859375,4.5160625,4.5160625,4.5160625,4.614011458333334,4.711960416666667,4.809909374999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
