Categories,Available Services,1 oz.,2 oz.,3 oz.,4 oz.,5 oz.,6 oz.,7 oz.,8 oz.,9 oz.,10 oz.,11 oz.,12 oz.,13 oz.,14 oz.,15 oz.,15.99 oz.,1 lb.,2 lb.,3 lb.,4 lb.,5 lb.,6 lb.,7 lb.,8 lb.,9 lb.,10 lb.,11 lb.,12 lb.,13 lb.,14 lb.,15 lb.,16 lb.,17 lb.,18 lb.,19 lb.,20 lb.,21 lb.,22 lb.,23 lb.,24 lb.,25 lb.,26 lb.,27 lb.,28 lb.,29 lb.,30 lb.,31 lb.,32 lb.,33 lb.,34 lb.,35 lb.,36 lb.,37 lb.,38 lb.,39 lb.,40 lb.,41 lb.,42 lb.,43 lb.,44 lb.,45 lb.,46 lb.,47 lb.,48 lb.,49 lb.,50 lb.,51 lb.,52 lb.,53 lb.,54 lb.,55 lb.
Adult,SC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6590364583333335,1.866416015625,2.0737955729166666,2.2811751302083336,2.4885546875,2.6959342447916668,2.903313802083334,3.1106933593750004,3.318072916666667,3.318072916666667,3.318072916666667,3.347743923611111,3.377414930555555,3.4070859374999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Automotive,,3.0526822916666667,3.0526822916666667,3.0526822916666667,3.0526822916666667,3.0526822916666667,3.0526822916666667,3.0526822916666667,3.0526822916666667,3.4342675781250005,3.8158528645833334,4.197438151041667,4.5790234375,4.960608723958334,5.342194010416668,5.7237792968750005,6.105364583333333,6.105364583333333,6.105364583333333,6.460219618055556,6.815074652777778,7.1699296875,7.785856640624999,8.40178359375,9.017710546875,9.633637499999999,10.249564453125,10.788500537109375,11.32743662109375,11.866372705078124,12.4053087890625,12.944244873046877,13.48318095703125,14.022117041015624,14.561053125,15.099989208984375,15.63892529296875,15.743718420410156,15.848511547851562,15.95330467529297,16.058097802734373,16.16289093017578,16.26768405761719,16.372477185058592,16.4772703125,16.582063439941408,16.68685656738281,16.79164969482422,16.896442822265627,17.00123594970703,17.10602907714844,17.210822204589846,17.31561533203125,17.420408459472654,17.52520158691406,17.62999471435547,17.734787841796873,17.83958096923828,17.944374096679688,18.049167224121092,18.1539603515625,18.258753479003907,18.36354660644531,18.46833973388672,18.573132861328126,18.67792598876953,18.782719116210938,23.498409851074218,28.2141005859375,32.92979132080078,37.64548205566406,42.36117279052735
Automotive -> Automotive Accessories,SC&VAS,3.0526822916666667,3.0526822916666667,3.0526822916666667,3.0526822916666667,3.0526822916666667,3.0526822916666667,3.0526822916666667,3.0526822916666667,3.4342675781250005,3.8158528645833334,4.197438151041667,4.5790234375,4.960608723958334,5.342194010416668,5.7237792968750005,6.105364583333333,6.105364583333333,6.105364583333333,6.460219618055556,6.815074652777778,7.1699296875,7.785856640624999,8.40178359375,9.017710546875,9.633637499999999,10.249564453125,10.788500537109375,11.32743662109375,11.866372705078124,12.4053087890625,12.944244873046877,13.48318095703125,14.022117041015624,14.561053125,15.099989208984375,15.63892529296875,15.743718420410156,15.848511547851562,15.95330467529297,16.058097802734373,16.16289093017578,16.26768405761719,16.372477185058592,16.4772703125,16.582063439941408,16.68685656738281,16.79164969482422,16.896442822265627,17.00123594970703,17.10602907714844,17.210822204589846,17.31561533203125,17.420408459472654,17.52520158691406,17.62999471435547,17.734787841796873,17.83958096923828,17.944374096679688,18.049167224121092,18.1539603515625,18.258753479003907,18.36354660644531,18.46833973388672,18.573132861328126,18.67792598876953,18.782719116210938,23.498409851074218,28.2141005859375,32.92979132080078,37.64548205566406,42.36117279052735
Automotive -> Automotive Parts,SC&VAS,3.0526822916666667,3.0526822916666667,3.0526822916666667,3.0526822916666667,3.0526822916666667,3.0526822916666667,3.0526822916666667,3.0526822916666667,3.4342675781250005,3.8158528645833334,4.197438151041667,4.5790234375,4.960608723958334,5.342194010416668,5.7237792968750005,6.105364583333333,6.105364583333333,6.105364583333333,6.460219618055556,6.815074652777778,7.1699296875,7.785856640624999,8.40178359375,9.017710546875,9.633637499999999,10.249564453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Automotive -> Automotive Tools -> Hand,SC&VAS,3.0526822916666667,3.0526822916666667,3.0526822916666667,3.0526822916666667,3.0526822916666667,3.0526822916666667,3.0526822916666667,3.0526822916666667,3.4342675781250005,3.8158528645833334,4.197438151041667,4.5790234375,4.960608723958334,5.342194010416668,5.7237792968750005,6.105364583333333,6.105364583333333,6.105364583333333,6.460219618055556,6.815074652777778,7.1699296875,7.785856640624999,8.40178359375,9.017710546875,9.633637499999999,10.249564453125,10.788500537109375,11.32743662109375,11.866372705078124,12.4053087890625,12.944244873046877,13.48318095703125,14.022117041015624,14.561053125,15.099989208984375,15.63892529296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Automotive -> Automotive Tools -> Power,SC&VAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.105364583333333,6.105364583333333,6.460219618055556,6.815074652777778,7.1699296875,7.785856640624999,8.40178359375,9.017710546875,9.633637499999999,10.249564453125,10.788500537109375,11.32743662109375,11.866372705078124,12.4053087890625,12.944244873046877,13.48318095703125,14.022117041015624,14.561053125,15.099989208984375,15.63892529296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Automotive -> Tires,Not Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0526822916666667,3.4342675781250005,3.8158528645833334,4.197438151041667,4.5790234375,4.960608723958334,5.342194010416668,5.7237792968750005,6.105364583333333,6.105364583333333,6.105364583333333,6.460219618055556,6.815074652777778,7.1699296875,7.785856640624999,8.40178359375,9.017710546875,9.633637499999999,10.249564453125,10.788500537109375,11.32743662109375,11.866372705078124,12.4053087890625,12.944244873046877,13.48318095703125,14.022117041015624,14.561053125,15.099989208984375,15.63892529296875,15.661406213378907,15.684292612641432,15.707611384761844,15.731392269672165,15.755668275428818,15.780476182437528,15.805857149723753,15.831857449235368,15.858529362264127,15.885932283202699,15.914134091356999,15.94321287344736,15.973259110911629,16.004378492151996,16.03669557849962,16.070358657253493,16.10554627842669,16.142476233793396,16.181418170312128,16.222711773112458,16.26679378021811,16.314239576644457,16.365830042055244,16.42266478250756,16.486367025990454,16.55948755934385,16.646399160007633,16.755639155364413,16.907941054771975,18.782719116210938,23.498409851074218,28.2141005859375,32.92979132080078,37.64548205566406,42.36117279052735
Baby -> Baby Food & Formula,Not Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby -> Baby Monitors,SC&VAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.230807291666667,3.6346582031250003,4.038509114583333,4.442360026041667,4.8462109375,5.2500618489583335,5.653912760416667,6.0577636718750005,6.461614583333334,6.461614583333334,6.461614583333334,6.858032118055555,7.254449652777777,7.650867187499999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
