Categories,VAS Eligible,Activities,1 oz.,2 oz.,3 oz.,4 oz.,5 oz.,6 oz.,7 oz.,8 oz.,9 oz.,10 oz.,11 oz.,12 oz.,13 oz.,14 oz.,15 oz.,15.99 oz.,1 lb.,2 lb.,3 lb.,4 lb.,5 lb.,6 lb.,7 lb.,8 lb.,9 lb.,10 lb.,11 lb.,12 lb.,13 lb.,14 lb.,15 lb.,16 lb.,17 lb.,18 lb.,19 lb.,20 lb.,21 lb.,22 lb.,23 lb.,24 lb.,25 lb.,26 lb.,27 lb.,28 lb.,29 lb.,30 lb.,31 lb.,32 lb.,33 lb.,34 lb.,35 lb.,36 lb.,37 lb.,38 lb.,39 lb.,40 lb.,41 lb.,42 lb.,43 lb.,44 lb.,45 lb.,46 lb.,47 lb.,48 lb.,49 lb.,50 lb.,51 lb.,52 lb.,53 lb.,54 lb.,55 lb.
Adult,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Automotive,,,1.7876145833333335,1.7876145833333335,1.7876145833333335,1.7876145833333335,1.7876145833333335,1.7876145833333335,1.7876145833333335,1.7876145833333335,2.0110664062500003,2.234518229166667,2.4579700520833336,2.6814218750000003,2.904873697916667,3.1283255208333336,3.3517773437500002,3.575229166666667,3.575229166666667,3.575229166666667,3.9923392361111114,4.409449305555556,4.826559375,5.55054328125,6.2745271875,6.99851109375,7.722495,8.44647890625,9.07996482421875,9.7134507421875,10.346936660156251,10.980422578125001,11.613908496093751,12.247394414062502,12.88088033203125,13.51436625,14.14785216796875,14.781338085937499,14.904515903320311,15.027693720703123,15.150871538085935,15.274049355468748,15.39722717285156,15.520404990234372,15.643582807617184,15.766760624999996,15.889938442382809,16.01311625976562,16.136294077148435,16.25947189453125,16.382649711914063,16.505827529296877,16.62900534667969,16.752183164062505,16.87536098144532,16.99853879882813,17.12171661621094,17.244894433593753,17.368072250976567,17.491250068359378,17.614427885742188,17.737605703125002,17.860783520507816,17.983961337890626,18.107139155273437,18.23031697265625,18.353494790039065,18.476672607421875,24.019674389648436,29.562676171874998,35.10567795410156,40.64867973632812,46.19168151855469
Automotive -> Automotive Accessories,Y,"Detailed Inspect for Damage, test functionality, clean product, replace/clean packaging",1.7876145833333335,1.7876145833333335,1.7876145833333335,1.7876145833333335,1.7876145833333335,1.7876145833333335,1.7876145833333335,1.7876145833333335,2.0110664062500003,2.234518229166667,2.4579700520833336,2.6814218750000003,2.904873697916667,3.1283255208333336,3.3517773437500002,3.575229166666667,3.575229166666667,3.575229166666667,3.9923392361111114,4.409449305555556,4.826559375,5.55054328125,6.2745271875,6.99851109375,7.722495,8.44647890625,9.07996482421875,9.7134507421875,10.346936660156251,10.980422578125001,11.613908496093751,12.247394414062502,12.88088033203125,13.51436625,14.14785216796875,14.781338085937499,14.904515903320311,15.027693720703123,15.150871538085935,15.274049355468748,15.39722717285156,15.520404990234372,15.643582807617184,15.766760624999996,15.889938442382809,16.01311625976562,16.136294077148435,16.25947189453125,16.382649711914063,16.505827529296877,16.62900534667969,16.752183164062505,16.87536098144532,16.99853879882813,17.12171661621094,17.244894433593753,17.368072250976567,17.491250068359378,17.614427885742188,17.737605703125002,17.860783520507816,17.983961337890626,18.107139155273437,18.23031697265625,18.353494790039065,18.476672607421875,24.019674389648436,29.562676171874998,35.10567795410156,40.64867973632812,46.19168151855469
Automotive -> Automotive Parts,Y,"Detailed Inspect for Damage, test functionality, clean product, replace/clean packaging",1.7876145833333335,1.7876145833333335,1.7876145833333335,1.7876145833333335,1.7876145833333335,1.7876145833333335,1.7876145833333335,1.7876145833333335,2.0110664062500003,2.234518229166667,2.4579700520833336,2.6814218750000003,2.904873697916667,3.1283255208333336,3.3517773437500002,3.575229166666667,3.575229166666667,3.575229166666667,3.9923392361111114,4.409449305555556,4.826559375,5.55054328125,6.2745271875,6.99851109375,7.722495,8.44647890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Automotive -> Automotive Tools -> Hand,Y,"Detailed Inspect for Damage, test functionality, clean product, replace/clean packaging",1.7876145833333335,1.7876145833333335,1.7876145833333335,1.7876145833333335,1.7876145833333335,1.7876145833333335,1.7876145833333335,1.7876145833333335,2.0110664062500003,2.234518229166667,2.4579700520833336,2.6814218750000003,2.904873697916667,3.1283255208333336,3.3517773437500002,3.575229166666667,3.575229166666667,3.575229166666667,3.9923392361111114,4.409449305555556,4.826559375,5.55054328125,6.2745271875,6.99851109375,7.722495,8.44647890625,9.07996482421875,9.7134507421875,10.346936660156251,10.980422578125001,11.613908496093751,12.247394414062502,12.88088033203125,13.51436625,14.14785216796875,14.781338085937499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Automotive -> Automotive Tools -> Power,Y,"Detailed Inspect for Damage, test functionality, clean product, replace/clean packaging",,,,,,,,,,,,,,,,,3.575229166666667,3.575229166666667,3.9923392361111114,4.409449305555556,4.826559375,5.55054328125,6.2745271875,6.99851109375,7.722495,8.44647890625,9.07996482421875,9.7134507421875,10.346936660156251,10.980422578125001,11.613908496093751,12.247394414062502,12.88088033203125,13.51436625,14.14785216796875,14.781338085937499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Automotive -> Tires,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby,,,,,,,,,,1.7876145833333335,2.0110664062500003,2.234518229166667,2.4579700520833336,2.6814218750000003,2.904873697916667,3.1283255208333336,3.3517773437500002,3.575229166666667,3.575229166666667,3.575229166666667,3.9923392361111114,4.409449305555556,4.826559375,5.55054328125,6.2745271875,6.99851109375,7.722495,8.44647890625,9.07996482421875,9.7134507421875,10.346936660156251,10.980422578125001,11.613908496093751,12.247394414062502,12.88088033203125,13.51436625,14.14785216796875,14.781338085937499,14.798934916992186,14.8170518514278,14.835723385897158,14.854987667492527,14.874887035294336,14.895468667135065,14.916785357255819,14.938896458188527,14.961869030586145,14.985779258999994,15.010714211488722,15.036774049052129,15.064074831261413,15.092752123498055,15.122965699247375,15.154905765039514,15.188801345063824,15.22493179849633,15.263642998602586,15.30537065585998,15.35067496945372,15.4002939795802,15.45522931222023,15.51689142028557,15.587362400931672,15.669914121117106,15.770155495627991,15.899037262856272,16.083154073182385,18.476672607421875,24.019674389648436,29.562676171874998,35.10567795410156,40.64867973632812,46.19168151855469
Baby -> Baby Food & Formula,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby -> Baby Monitors,Y,"Detailed Inspect for Damage, test functionality, clean product, replace/clean packaging",,,,,,,,1.7430833333333333,1.96096875,2.1788541666666665,2.3967395833333334,2.614625,2.8325104166666666,3.0503958333333334,3.26828125,3.4861666666666666,3.4861666666666666,3.4861666666666666,3.8928861111111113,4.299605555555556,4.7063250000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby -> Bedding & Decor,Y,"Steam, Fold, replace/clean packaging",,,,,,,,1.7876145833333335,2.0110664062500003,2.234518229166667,2.4579700520833336,2.6814218750000003,2.904873697916667,3.1283255208333336,3.3517773437500002,3.575229166666667,3.575229166666667,3.575229166666667,3.9923392361111114,4.409449305555556,4.826559375,5.55054328125,6.2745271875,6.99851109375,7.722495,8.44647890625,9.07996482421875,9.7134507421875,10.346936660156251,10.980422578125001,11.613908496093751,12.247394414062502,12.88088033203125,13.51436625,14.14785216796875,14.781338085937499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby -> Car Seats,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby -> Diapers & Wipes,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby -> Health & Safety,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby -> Nursing & Feeding Supplies,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby -> Strollers,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Baby -> Walkers, Swings & Bouncers",N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Books,Y,"Detailed Inspect for Damage, replace/clean packaging",1.7876145833333335,1.7876145833333335,1.7876145833333335,1.7876145833333335,1.7876145833333335,1.7876145833333335,1.7876145833333335,1.7876145833333335,2.0110664062500003,2.234518229166667,2.4579700520833336,2.6814218750000003,2.904873697916667,3.1283255208333336,3.3517773437500002,3.575229166666667,3.575229166666667,3.575229166666667,3.9923392361111114,4.409449305555556,4.826559375,5.55054328125,6.2745271875,6.99851109375,7.722495,8.44647890625,9.07996482421875,9.7134507421875,10.346936660156251,10.980422578125001,11.613908496093751,12.247394414062502,12.88088033203125,13.51436625,14.14785216796875,14.781338085937499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clothing,,,1.7876145833333335,1.7876145833333335,1.7876145833333335,1.7876145833333335,1.7876145833333335,1.7876145833333335,1.7876145833333335,1.7876145833333335,2.0110664062500003,2.234518229166667,2.4579700520833336,2.6814218750000003,2.904873697916667,3.1283255208333336,3.3517773437500002,3.575229166666667,3.575229166666667,3.575229166666667,3.9923392361111114,4.409449305555556,4.826559375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clothing, Shoes & Accessories -> Backpacks, Bags, Wallets & Accessories",Y,"Detailed Inspect for Damage, replace/clean packaging",1.7876145833333335,1.7876145833333335,1.7876145833333335,1.7876145833333335,1.7876145833333335,1.7876145833333335,1.7876145833333335,1.7876145833333335,2.0110664062500003,2.234518229166667,2.4579700520833336,2.6814218750000003,2.904873697916667,3.1283255208333336,3.3517773437500002,3.575229166666667,3.575229166666667,3.575229166666667,3.9923392361111114,4.409449305555556,4.826559375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clothing, Shoes & Accessories -> Clothing -> Babies",Y,"Steam, Fold, replace/clean packaging",,1.7876145833333335,1.7876145833333335,1.7876145833333335,1.7876145833333335,1.7876145833333335,1.7876145833333335,1.7876145833333335,2.0110664062500003,2.234518229166667,2.4579700520833336,2.6814218750000003,2.904873697916667,3.1283255208333336,3.3517773437500002,3.575229166666667,3.575229166666667,3.575229166666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clothing, Shoes & Accessories -> Clothing -> Boys",Y,"Steam, Fold, replace/clean packaging",,1.7876145833333335,1.7876145833333335,1.7876145833333335,1.7876145833333335,1.7876145833333335,1.7876145833333335,1.7876145833333335,2.0110664062500003,2.234518229166667,2.4579700520833336,2.6814218750000003,2.904873697916667,3.1283255208333336,3.3517773437500002,3.575229166666667,3.575229166666667,3.575229166666667,3.9923392361111114,4.409449305555556,4.826559375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clothing, Shoes & Accessories -> Clothing -> Girls",Y,"Steam, Fold, replace/clean packaging",,1.7876145833333335,1.7876145833333335,1.7876145833333335,1.7876145833333335,1.7876145833333335,1.7876145833333335,1.7876145833333335,2.0110664062500003,2.234518229166667,2.4579700520833336,2.6814218750000003,2.904873697916667,3.1283255208333336,3.3517773437500002,3.575229166666667,3.575229166666667,3.575229166666667,3.9923392361111114,4.409449305555556,4.826559375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clothing, Shoes & Accessories -> Clothing -> Boys -> Underwear",N,"Steam, Fold, replace/clean packaging",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clothing, Shoes & Accessories -> Clothing -> Girls -> Underwear",N,"Steam, Fold, replace/clean packaging",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clothing, Shoes & Accessories -> Clothing -> Mens -> Dress Shirts",Y,"Steam, Fold, replace/clean packaging",,,,,,1.7876145833333335,1.7876145833333335,1.7876145833333335,2.0110664062500003,2.234518229166667,2.4579700520833336,2.6814218750000003,2.904873697916667,3.1283255208333336,3.3517773437500002,3.575229166666667,3.575229166666667,3.575229166666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clothing, Shoes & Accessories -> Clothing -> Mens -> Jackets & Outerwear",Y,"Steam, Fold, replace/clean packaging",,,,,,1.7876145833333335,1.7876145833333335,1.7876145833333335,2.0110664062500003,2.234518229166667,2.4579700520833336,2.6814218750000003,2.904873697916667,3.1283255208333336,3.3517773437500002,3.575229166666667,3.575229166666667,3.575229166666667,3.9923392361111114,4.409449305555556,4.826559375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clothing, Shoes & Accessories -> Clothing -> Mens -> Jeans, Pants & Shorts",Y,"Steam, Fold, replace/clean packaging",,,,,,1.7876145833333335,1.7876145833333335,1.7876145833333335,2.0110664062500003,2.234518229166667,2.4579700520833336,2.6814218750000003,2.904873697916667,3.1283255208333336,3.3517773437500002,3.575229166666667,3.575229166666667,3.575229166666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clothing, Shoes & Accessories -> Clothing -> Mens -> Sleepwear & Robes",Y,"Steam, Fold, replace/clean packaging",,,,,,1.7876145833333335,1.7876145833333335,1.7876145833333335,2.0110664062500003,2.234518229166667,2.4579700520833336,2.6814218750000003,2.904873697916667,3.1283255208333336,3.3517773437500002,3.575229166666667,3.575229166666667,3.575229166666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clothing, Shoes & Accessories -> Clothing -> Mens -> Suits & Sportcoats",Y,"Steam, Fold, replace/clean packaging",,,,,,,,,,,,,,,,,3.575229166666667,3.575229166666667,3.9923392361111114,4.409449305555556,4.826559375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clothing, Shoes & Accessories -> Clothing -> Mens -> Swimwear",Y,"Steam, Fold, replace/clean packaging",,,,,,1.7876145833333335,1.7876145833333335,1.7876145833333335,2.0110664062500003,2.234518229166667,2.4579700520833336,2.6814218750000003,2.904873697916667,3.1283255208333336,3.3517773437500002,3.575229166666667,3.575229166666667,3.575229166666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clothing, Shoes & Accessories -> Clothing -> Mens -> T-Shirts, Polos, Sweaters",Y,"Steam, Fold, replace/clean packaging",,,,,,1.7876145833333335,1.7876145833333335,1.7876145833333335,2.0110664062500003,2.234518229166667,2.4579700520833336,2.6814218750000003,2.904873697916667,3.1283255208333336,3.3517773437500002,3.575229166666667,3.575229166666667,3.575229166666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clothing, Shoes & Accessories -> Clothing -> Mens -> Underwear & Socks",N,"Steam, Fold, replace/clean packaging",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Dresses & Skirts",Y,"Steam, Fold, replace/clean packaging",,,,,,1.7876145833333335,1.7876145833333335,1.7876145833333335,2.0110664062500003,2.234518229166667,2.4579700520833336,2.6814218750000003,2.904873697916667,3.1283255208333336,3.3517773437500002,3.575229166666667,3.575229166666667,3.575229166666667,3.9923392361111114,4.409449305555556,4.826559375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Jackets & Outerwear",Y,"Steam, Fold, replace/clean packaging",,,,,,1.7876145833333335,1.7876145833333335,1.7876145833333335,2.0110664062500003,2.234518229166667,2.4579700520833336,2.6814218750000003,2.904873697916667,3.1283255208333336,3.3517773437500002,3.575229166666667,3.575229166666667,3.575229166666667,3.9923392361111114,4.409449305555556,4.826559375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Jeans, Pants, Legging & Shorts",Y,"Steam, Fold, replace/clean packaging",,,,,,1.7876145833333335,1.7876145833333335,1.7876145833333335,2.0110664062500003,2.234518229166667,2.4579700520833336,2.6814218750000003,2.904873697916667,3.1283255208333336,3.3517773437500002,3.575229166666667,3.575229166666667,3.575229166666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Shirts & Blouses",Y,"Steam, Fold, replace/clean packaging",,,,,,1.7876145833333335,1.7876145833333335,1.7876145833333335,2.0110664062500003,2.234518229166667,2.4579700520833336,2.6814218750000003,2.904873697916667,3.1283255208333336,3.3517773437500002,3.575229166666667,3.575229166666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clothing, Shoes & Accessories -> Clothing -> Womens -> Swimwear",Y,"Steam, Fold, replace/clean packaging",,,,,,1.7876145833333335,1.7876145833333335,1.7876145833333335,2.0110664062500003,2.234518229166667,2.4579700520833336,2.6814218750000003,2.904873697916667,3.1283255208333336,3.3517773437500002,3.575229166666667,3.575229166666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clothing, Shoes & Accessories -> Clothing -> Womens -> T-Shirts, Polos, Sweaters & Cardigans",Y,"Steam, Fold, replace/clean packaging",,,,,,1.7876145833333335,1.7876145833333335,1.7876145833333335,2.0110664062500003,2.234518229166667,2.4579700520833336,2.6814218750000003,2.904873697916667,3.1283255208333336,3.3517773437500002,3.575229166666667,3.575229166666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
